benchmark,topology,intervention,metric,n,positive,rate,wilson95_low,wilson95_high
MUSE-Books,debate,none,target_positive_content,70,28,0.4,0.2933408057355693,0.5170641692378874
MUSE-Books,debate,none,system_positive_content,70,28,0.4,0.2933408057355693,0.5170641692378874
MUSE-Books,debate,target_context,target_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,target_context,target_positive,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,debate,target_context,system_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,target_context,system_positive,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,debate,target_context,target_positive_content,30,4,0.13333333333333333,0.05309569424218104,0.2968168394441695
MUSE-Books,debate,target_context,system_positive_content,30,5,0.16666666666666666,0.07336434240351683,0.33564705185680177
MUSE-Books,debate,target_context_comm,target_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,target_context_comm,target_positive,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,target_context_comm,system_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,target_context_comm,system_positive,30,3,0.1,0.03459925995971615,0.25621441315266624
MUSE-Books,debate,target_context_comm,target_positive_content,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,debate,target_context_comm,system_positive_content,30,6,0.2,0.09504978102401235,0.37306047381027446
MUSE-Books,debate,target_context_memory,target_exact,70,3,0.04285714285714286,0.014681274851143573,0.11859861074180134
MUSE-Books,debate,target_context_memory,target_positive,70,8,0.11428571428571428,0.05906058386702606,0.20964431960202118
MUSE-Books,debate,target_context_memory,system_exact,70,3,0.04285714285714286,0.014681274851143573,0.11859861074180134
MUSE-Books,debate,target_context_memory,system_positive,70,8,0.11428571428571428,0.05906058386702606,0.20964431960202118
MUSE-Books,debate,target_context_memory,target_positive_content,70,21,0.3,0.2053645673851015,0.4154453825618119
MUSE-Books,debate,target_context_memory,system_positive_content,70,23,0.32857142857142857,0.22998711826717816,0.4449928388301762
MUSE-Books,debate,target_memory,target_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,target_memory,target_positive,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,target_memory,system_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,target_memory,system_positive,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,debate,target_memory,target_positive_content,30,8,0.26666666666666666,0.14182495553910618,0.4444830204431169
MUSE-Books,debate,target_memory,system_positive_content,30,9,0.3,0.16664562643958933,0.4787612101166018
MUSE-Books,debate,target_memory_comm,target_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,target_memory_comm,target_positive,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,target_memory_comm,system_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,debate,target_memory_comm,system_positive,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,debate,target_memory_comm,target_positive_content,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267
MUSE-Books,debate,target_memory_comm,system_positive_content,30,9,0.3,0.16664562643958933,0.4787612101166018
MUSE-Books,hierarchical,communication,target_exact,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874
MUSE-Books,hierarchical,communication,target_positive,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874
MUSE-Books,hierarchical,communication,system_exact,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874
MUSE-Books,hierarchical,communication,system_positive,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874
MUSE-Books,hierarchical,communication,target_positive_content,30,15,0.5,0.33153851227173764,0.6684614877282624
MUSE-Books,hierarchical,communication,system_positive_content,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127
MUSE-Books,hierarchical,full_inference,target_exact,40,6,0.15,0.07061091708507435,0.2907262603902003
MUSE-Books,hierarchical,full_inference,target_positive,40,6,0.15,0.07061091708507435,0.2907262603902003
MUSE-Books,hierarchical,full_inference,system_exact,40,3,0.075,0.025835556771858226,0.19864530159097524
MUSE-Books,hierarchical,full_inference,system_positive,40,3,0.075,0.025835556771858226,0.19864530159097524
MUSE-Books,hierarchical,full_inference,target_positive_content,40,15,0.375,0.2422277353579172,0.529678399454681
MUSE-Books,hierarchical,full_inference,system_positive_content,40,20,0.5,0.35199278797099753,0.6480072120290025
